1;горох;14;2;298;1
2;геркулес;12;6,2;292;1
3;гречка;14;3,3;328;1
4;макароны 1 сорт;13;1,3;335;1
5;макароны в/с;13;1,1;330;1
6;манка;14;1;348;1
7;мука 1 сорт;14;1,3;303;1
8;мука в/с;14;1,1;305;1
9;овсянка;12;6,1;320;1
10;перловка;14;1,1;334;1
11;пшеничная;14;1,3;331;1
12;пшено;14;3,3;337;1
13;рис;14;1;335;1
14;фасоль;14;2;316;1
15;хлеб ржаной формовой;47;1,2;181;2
16;батон   1 сорт;36,6;0,9;209;2
17;батон Витебский в/с;36;1;235;2
18;батон в/с;34;2,9;264;2
19;блинчики;43,9;16,8;337;2
20;булочка сдобная с повидлом;28,2;4,2;0;2
21;дрожжи;74;2,7;213;2
22;сухари   1 сорт;12;1,4;262;2
23;хлеб  Медок;49;0,5;227,31;2
24;хлеб  Ольса ;40;0,93;212;2
25;хлеб  Студенческий;46;0,8;255;2
26;хлеб пшеничный подовой;41;1,5;293;2
27;хлебец   Романовский в/с;42;1,1;208;2
28;сахар;0,14;0;379;3
29;булка сдобная;28,8;5,3;327;3
30;какао;4;17,5;369,16;3
31;кисель;14;0;380;3
32;кофе;7;3,6;350;3
33;кофейный напиток;7;2,1;436;3
34;крахмал картофельный;20;0;0;3
35;масло крестьянское;25;72,5;279,3;3
36;печенье;5,5;11,8;0;3
37;пряники;14,5;2,8;661;3
38;пряники Изюминка;15,5;3,9;360,77;3
39;чай;8,5;5,1;295;3
40;молоко 3,5%;88,2;3,5;61;4
41;Беллакт 1+;4;26,5;58;4
42;Беллакт 2+;4;27,5;52;4
43;Беллакт -ГА;0;26,5;206;4
44;ДМС Беллакт 1+;4;26,5;248;4
45;жир кулинарный;0,3;99,7;230;4
46;Иммунис 1(0-6);0;26,5;159;4
47;йогурт ;81,3;3,2;88;4
48;кефир 3,2%;88,3;3,2;407;4
49;кефир фруктовый;88;2,5;56;4
50;майонез;25;67;85;4
51;маргарин;15,9;82;476;4
