№;Наименование;Вода;Жир;Энергетическая;;;;;;;;
;продуктов;;;ценность;;;;;;;;
;1.Зерно и продукты его переработки;;;;;;;;;;;
1;горох;14;2;298;1;;;;;;;
2;геркулес;12;6,2;292;1;;;;;;;
3;гречка;14;3,3;328;1;;;;;;;
4;макароны 1 сорт;13;1,3;335;1;;;;;;;
5;макароны в/с;13;1,1;330;1;;;;;;;
6;манка;14;1;348;1;;;;;;;
7;мука 1 сорт;14;1,3;303;1;;;;;;;
8;мука в/с;14;1,1;305;1;;;;;;;
9;овсянка;12;6,1;320;1;;;;;;;
10;перловка;14;1,1;334;1;;;;;;;
11;пшеничная;14,0;1,3;331;1;;;;;;;
12;пшено;14;3,3;337;1;;;;;;;
13;рис;14;1;335;1;;;;;;;
14;фасоль;14;2;316;1;;;;;;;
15;;;;;;;;;;;;
16;;;;;;;;;;;;
17;;;;;;;;;;;;
18;;;;;;;;;;;;
19;;;;;;;;;;;;
20;;;;;;;;;;;;
21;;;;;;;;;;;;
22;;;;;;;;;;;;
23;;;;;;;;;;;;
24;;;;;;;;;;;;
25;;;;;;;;;;;;
26;;;;;;;;;;;;
27;;;;;;;;;;;;
28;;;;;;;;;;;;
29;;;;;;;;;;;;
30;;;;;;;;;;;;
31;;;;;;;;;;;;
32;;;;;;;;;;;;
33;;;;;;;;;;;;
34;;;;;;;;;;;;
35;;;;;;;;;;;;
36;;;;;;;;;;;;
37;;;;;;;;;;;;
38;;;;;;;;;;;;
39;;;;;;;;;;;;
40;;;;;;;;;;;;
41;;;;;;;;;;;;
42;;;;;;;;;;;;
43;;;;;;;;;;;;
44;;;;;;;;;;;;
45;;;;;;;;;;;;
46;;;;;;;;;;;;
47;;;;;;;;;;;;
48;;;;;;;;;;;;
49;;;;;;;;;;;;
50;;;;;;;;;;;;
;2.Хлеб и хлебобулочные изделия;;;;;;;;;;;
1;хлеб ржаной формовой;47;1,2;181;2;;;;;;;
2;батон   1 сорт;36,6;0,9;209;2;;;;;;;
3;"батон "" Витебский"" в/с";36;1,0;235;2;;;;;;;
4;батон в/с;34;2,9;264;2;;;;;;;
5;блинчики;43,9;16,8;337;2;;;;;;;
6;булочка сдобная с повидлом;28,2;4,2;0;2;;;;;;;
7;дрожжи;74;2,7;213;2;;;;;;;
8;сухари   1 сорт;12;1,4;262;2;;;;;;;
9;"хлеб "" Медок""";49;0,5;227,31;2;;;;;;;
10;"хлеб "" Ольса"" ";40;0,93;212;2;;;;;;;
11;"хлеб "" Студенческий""";46;0,8;255;2;;;;;;;
12;хлеб пшеничный подовой;41;1,5;293;2;;;;;;;
13;"хлебец  "" Романовский"" в/с";42;1,1;208;2;;;;;;;
14;;;;;;;;;;;;
15;;;;;;;;;;;;
16;;;;;;;;;;;;
17;;;;;;;;;;;;
18;;;;;;;;;;;;
19;;;;;;;;;;;;
20;;;;;;;;;;;;
21;;;;;;;;;;;;
22;;;;;;;;;;;;
23;;;;;;;;;;;;
24;;;;;;;;;;;;
25;;;;;;;;;;;;
26;;;;;;;;;;;;
27;;;;;;;;;;;;
28;;;;;;;;;;;;
29;;;;;;;;;;;;
30;;;;;;;;;;;;
31;;;;;;;;;;;;
32;;;;;;;;;;;;
33;;;;;;;;;;;;
34;;;;;;;;;;;;
35;;;;;;;;;;;;
36;;;;;;;;;;;;
37;;;;;;;;;;;;
38;;;;;;;;;;;;
39;;;;;;;;;;;;
40;;;;;;;;;;;;
41;;;;;;;;;;;;
42;;;;;;;;;;;;
43;;;;;;;;;;;;
44;;;;;;;;;;;;
45;;;;;;;;;;;;
46;;;;;;;;;;;;
47;;;;;;;;;;;;
48;;;;;;;;;;;;
49;;;;;;;;;;;;
50;;;;;;;;;;;;
;3.Кондитерские изделия;;;;;;;;;;;
1;сахар;0,14;0;379;3;;;;;;;
2;булка сдобная;28,8;5,3;327;3;;;;;;;
3;какао;4;17,5;369,16;3;;;;;;;
4;кисель;14;0;380;3;;;;;;;
5;кофе;7;3,6;350;3;;;;;;;
6;кофейный напиток;7;2,1;436;3;;;;;;;
7;крахмал картофельный;20;0;0;3;;;;;;;
8;масло крестьянское;25;72,5;279,3;3;;;;;;;
9;печенье;5,5;11,8;0;3;;;;;;;
10;пряники;14,5;2,8;661;3;;;;;;;
11;"пряники ""Изюминка""";15,5;3,9;360,77;3;;;;;;;
12;чай;8,5;5,1;295;3;;;;;;;
13;;;;;;;;;;;;
14;;;;;;;;;;;;
15;;;;;;;;;;;;
16;;;;;;;;;;;;
17;;;;;;;;;;;;
18;;;;;;;;;;;;
19;;;;;;;;;;;;
20;;;;;;;;;;;;
21;;;;;;;;;;;;
22;;;;;;;;;;;;
23;;;;;;;;;;;;
24;;;;;;;;;;;;
25;;;;;;;;;;;;
26;;;;;;;;;;;;
27;;;;;;;;;;;;
28;;;;;;;;;;;;
29;;;;;;;;;;;;
30;;;;;;;;;;;;
31;;;;;;;;;;;;
32;;;;;;;;;;;;
33;;;;;;;;;;;;
34;;;;;;;;;;;;
35;;;;;;;;;;;;
36;;;;;;;;;;;;
37;;;;;;;;;;;;
38;;;;;;;;;;;;
39;;;;;;;;;;;;
40;;;;;;;;;;;;
41;;;;;;;;;;;;
42;;;;;;;;;;;;
43;;;;;;;;;;;;
44;;;;;;;;;;;;
45;;;;;;;;;;;;
46;;;;;;;;;;;;
47;;;;;;;;;;;;
48;;;;;;;;;;;;
49;;;;;;;;;;;;
50;;;;;;;;;;;;
;4.Молочные продукты;;;;;;;;;;;
1;молоко 3,5%;88,2;3,5;61;4;;;;;;;
2;Беллакт 1+;4;26,5;58;4;;;;;;;
3;Беллакт 2+;4;27,5;52;4;;;;;;;
4;Беллакт -ГА;0;26,5;206;4;;;;;;;
5;ДМС Беллакт 1+;4;26,5;248;4;;;;;;;
6;жир кулинарный;0,3;99,7;230;4;;;;;;;
7;Иммунис 1(0-6);0;26,5;159;4;;;;;;;
8;йогурт ;81,3;3,2;88;4;;;;;;;
9;кефир 3,2%;88,3;3,2;407;4;;;;;;;
