1;горох;0,50
2;апельсины;30,00
3;банан;30,00
4;батон   1 сорт;0,00
5;"батон "" Витебский"" в/с";0,00
6;батон в/с;0,00
7;Беллакт 1+;0,00
8;Беллакт 2+;0,00
9;Беллакт -ГА;0,00
10;блинчики;0,00
11;бройлеры ( цыплята ) 2 кат.;33,00
12;бройлеры ( цыплята) 1 кат.;28,00
13;булка сдобная;0,00
14;булочка сдобная с повидлом;0,00
15;варенье сливовое;0,00
16;геркулес;0,00
17;говядина ( вырезка);0,00
18;говядина ( котлетное мясо);0,00
19;говядина 1 кат.;25,00
20;говядина 2 кат.;29,00
21;говядина тушеная;0,00
22;горошек зеленый;34,80
23;гречка;1,00
24;грудка куриная;28,00
25;груша;10,00
26;груша сушеная;0,00
27;джем яблочный ;0,00
28;ДМС Беллакт 1+;0,00
29;дрожжи;0,00
30;жир кулинарный;0,00
31;"закуска ""Минская""";0,00
32;изюм;0,00
33;икра из баклажан;0,00
34;икра из кабачков;0,00
35;Иммунис 1(0-6);0,00
36;йогурт ;0,00
37;какао;0,00
38;кальмары ( тушка);52,00
39;камбала;45,00
40;капуста белокачанная;20,00
41;капуста квашеная;0,00
42;картофель;28,00
43;кефир 3,2%;0,00
44;кефир фруктовый;0,00
45;кисель;0,00
46;клюква протертая с сахором;0,00
47;"колбаса "" Докторская""";1,00
48;"колбаса "" Одесская""";1,00
49;"колбаса ""Любительская""";1,00
50;колбаса говяжья вареная;1,00
51;"колбаски ""Олимпийские""";0,00
52;кофе;0,00
53;кофейный напиток;0,00
54;крахмал картофельный;0,00
55;кукуруза;40,00
56;курага;0,00
57;куры 1 кат.;25,00
58;куры 2 кат.;30,00
59;лук ( перо);20,00
60;лук репчатый;16,00
61;майонез;0,00
62;макароны 1 сорт;0,00
63;макароны в/с;0,00
64;мандарины;26,00
65;манка;0,00
66;маргарин;0,00
67;масло крестьянское;0,00
68;масло особое;0,00
69;масло растительное ;0,00
70;минтай;54,00
71;молоко 2,5%;0,00
72;молоко 3,2%;0,00
73;молоко 3,5%;0,00
74;молоко концентрированное ;0,00
75;молоко сгущеное с сахаром;0,00
76;молоко сухое;0,00
77;морковь;20,00
78;морковь соленая;0,00
79;морская капуста;0,00
80;мука 1 сорт;0,00
81;мука в/с;0,00
82;навага;50,00
83;овсянка;1,50
84;огурцы;7,00
85;огурцы соленые;0,00
86;окорочок куриный;29,00
87;оптимум;0,00
88;Оптимум 6-12;0,00
89;перец сладкий;25,00
90;перловка;1,00
91;печень говяжья;7,00
92;печенье;0,00
93;пикша ;54,00
94;повидло сливовое ;0,00
95;повидло яблочное;0,00
96;помидоры;5,00
97;помидоры соленые;0,00
98;пряники;0,00
99;"пряники ""Изюминка""";0,00
100;пшеничная;1,00
101;пшено;1,00
102;рагу овощное;0,00
103;редис;20,00
104;редька;25,00
105;рис;1,00
106;рулет свиной;1,00
107;салями;1,00
108;сардельки;0,00
109;сахар;0,00
110;свекла;20,00
111;свекла консерв.;0,00
112;свинина ( котлетное мясо);0,00
113;свинина (вырезка);0,00
114;свинина жирная;12,00
115;свинина мясная;15,00
116;свинина тушеная;0,00
117;сельдь;42,00
118;сельдь жирная;39,00
119;сельдь соленая;42,00
120;скумбрия;40,00
121;скумбрия  натуральная атлантическая;0,00
122;сметана 20%;0,00
123;сметана 22%;0,00
124;сметана 25%;0,00
125;сок  березово-вишневый;0,00
126;сок березово- клюквенный;0,00
127;сок березовый;0,00
128;сок клюквенный;0,00
129;сок морковно-яблочный;0,00
130;сок морковный;0,00
131;сок сливовый;0,00
132;сок томатный;0,00
133;сок черноплоднорябиново-яблочный;0,00
134;сок яблочно- березовый;0,00
135;сок яблочный;0,00
136;сосиски;1,50
137;соус томатный;0,00
138;сухари   1 сорт;0,00
139;сухофрукты ( смесь);0,00
140;"сыр  ""Пошехонский""";2,00
141;"сыр ""Российский""";3,00
142;сыр голандский;4,00
143;сыр Демидовский ;4,00
144;"сыр твердый ""Рассвет""";4,00
145;сырок глазированный;0,00
146;творог н/ж;0,00
147;творог п/ж;0,00
148;томат-паста;0,00
149;урюк;0,00
150;фасоль;0,50
151;фасоль натуральная;0,00
152;хек;43,00
153;"хлеб "" Медок""";0,00
154;"хлеб "" Ольса"" ";0,00
155;"хлеб "" Студенческий""";0,00
156;хлеб пшеничный подовой;0,00
157;хлеб ржаной формовой;0,00
158;"хлебец  "" Романовский"" в/с";0,00
159;чай;0,00
160;чернослив;0,00
161;чеснок;15,00
162;шампиньоны;0,00
163;щавель;20,00
164;Щи из свежей капусты;0,00
165;яблоки;12,00
166;яблоки сушеные;0,00
167;яйцо куриное;13,00
